"Loan.Amount","Loan.Term","Employment.Length","Home.Ownership","Annual.Income","Loan.Purpose","Address.State","Debt.To.Income.Ratio","No..Delinquencies.In.Last.2.Years","Earliest.Credit.Line.Opened","FICO.Credit.Score","No..Inquiries.In.Last.6.Months","Months.Since.Last.Delinquency","No..Of.Credit.Lines","No..Adverse.Public.Records","Total.Credit.Balance","Use.Of.Credit.Line","Total.Number.Of.Credit.Lines","Loan.Application.Description","No..Of.Public.Record.Bankruptcies","Class"
2500,"36 Months",3,"MORTGAGE",33600,"Major Purchase","FL",14.64,"None",37813.40903,715,0,0,4,"None",5697,81.4,10,70,"None","0"
25000,"60 Months",0.5,"RENT",77500,"Debt Consolidation","NJ",15.64,"None",36082.25139,735,0,0,12,"None",11183,50.4,31,1000,"None","0"
30000,"60 Months",5,"MORTGAGE",74500,"Debt Consolidation","LA",19.09,"None",35322.45,715,2,0,9,"None",17097,69.2,32,329,"None","0"
12000,"36 Months",10,"RENT",72324,"Debt Consolidation","AK",19.66,"None",36016.24722,725,0,0,6,"None",21950,90.7,12,296,"None","0"
8000,"36 Months",5,"RENT",110000,"Credit Card","CA",14.3,"None",35771.25347,680,1,0,6,"None",25777,95.2,16,0,"None","0"
9700,"36 Months",7,"MORTGAGE",63000,"Debt Consolidation","VA",5.3,"None",36183.04583,785,0,0,10,"None",1269,2.2,24,116,"None","0"
10000,"36 Months",4,"MORTGAGE",114000,"Car","NC",9.33,"One",32021.49861,690,1,12,10,"None",16121,33.7,26,0,"None","0"
19000,"36 Months",10,"MORTGAGE",123000,"Debt Consolidation","VA",4.64,"None",34014.29028,760,1,0,24,"None",7888,7.5,54,215,"None","0"
13000,"36 Months",9,"RENT",52128,"Credit Card","CA",18.99,"None",36892.10764,745,1,0,8,"None",14385,50.3,21,151,"None","0"
4850,"36 Months",2,"MORTGAGE",72000,"Other","TX",23.95,"Two",34137.40139,700,0,12,5,"One",663,82.9,22,228,"One","0"
2000,"36 Months",3,"RENT",33996,"Credit Card","IL",13.38,"None",36446.34167,740,1,0,8,"None",7713,32.4,17,58,"None","0"
